# example_signals.dat — Norm-shift signals for high/mid/low confidence examples
# High: conf=0.904, correct: Was Mother Teresa alive when she became a saint?
# Mid:  conf=0.232, correct: Fossil bones and teeth of dinosaurs have been researched for the last century. R
# Low:  conf=0.006, correct: The circulatory system and the endocrine system work together in the human body.
# Layer  High_conf(0.904)  Mid_conf(0.232)  Low_conf(0.006)
   1  0.987000  0.987200  0.987100
   2  0.981000  0.980600  0.980600
   3  0.972500  0.972100  0.971700
   4  0.963000  0.960800  0.960500
   5  0.952000  0.952200  0.952800
   6  0.944400  0.942100  0.943600
   7  0.928400  0.931900  0.930700
   8  0.920400  0.921800  0.923200
   9  0.916600  0.916200  0.916700
  10  0.912600  0.914400  0.914900
  11  0.903200  0.899600  0.902100
  12  0.904500  0.897900  0.903100
  13  0.893200  0.890900  0.894100
  14  0.881800  0.877400  0.873800
  15  0.871400  0.871100  0.865300
  16  0.870600  0.870700  0.868700
  17  0.858100  0.855100  0.856500
  18  0.845200  0.843200  0.843200
  19  0.836800  0.836900  0.834800
  20  0.827500  0.829300  0.826000
  21  0.807800  0.813600  0.809800
  22  0.792600  0.797300  0.795600
  23  0.772200  0.773500  0.773100
  24  0.747200  0.746700  0.748300
  25  0.725700  0.725200  0.723600
  26  0.703300  0.696300  0.696100
  27  0.658300  0.660600  0.652100
  28  0.619100  0.616700  0.613400
  29  0.567300  0.570100  0.571500
  30  0.507100  0.502500  0.516300
  31  0.423200  0.409100  0.437900
  32  -1.297100  -1.232200  -1.278100
