# layer27_vs_31_density.dat — Histogram density
# Source: llama3.1-8b
# 20 bins over [0.30, 0.69], bin_width=0.0194
# Bin_center  L27_correct  L27_incorrect  L31_correct  L31_incorrect
0.3120     0     0     0     0
0.3314     0     0     1     3
0.3508     0     0     3     8
0.3703     0     0     1    12
0.3897     0     0    10     5
0.4091     0     0    15     1
0.4285     0     0    19     1
0.4479     0     0    10     0
0.4674     0     0     1     0
0.4868     0     0     0     0
0.5062     0     0     0     0
0.5256     0     0     0     0
0.5450     0     0     0     0
0.5645     0     0     0     0
0.5839     0     0     0     0
0.6033     1     2     0     0
0.6227     4    11     0     0
0.6421    23    16     0     0
0.6616    32     1     0     0
0.6810     0     0     0     0
