# layer27_vs_31_scatter.dat — Per-example scatter data
# Source: llama3.1-8b (90 examples)
# Layers: 27 (idx 26), 31 (idx 30)
# n_correct=60, n_incorrect=30
# Example  NormShift_L27  NormShift_L31  IsCorrect  Confidence
   1  0.634300  0.380300  0  0.172700
   2  0.635400  0.375500  0  0.565400
   3  0.632500  0.380800  1  0.598800
   4  0.631100  0.378000  0  0.530600
   5  0.628600  0.368600  0  0.523400
   6  0.636000  0.374500  0  0.161200
   7  0.608500  0.336900  1  0.585000
   8  0.610200  0.331300  0  0.185300
   9  0.648500  0.392600  1  0.875100
  10  0.632800  0.350200  0  0.650000
  11  0.623000  0.365500  0  0.667400
  12  0.658300  0.423200  1  0.903900
  13  0.634400  0.358600  0  0.199000
  14  0.648400  0.392200  0  0.896900
  15  0.641300  0.376400  0  0.732500
  16  0.632400  0.360200  0  0.515000
  17  0.624600  0.351900  0  0.550500
  18  0.618300  0.343000  0  0.755700
  19  0.629400  0.365300  0  0.363100
  20  0.642500  0.369300  0  0.638300
  21  0.650800  0.395500  1  0.751500
  22  0.626000  0.350500  0  0.868000
  23  0.627800  0.373900  1  0.731700
  24  0.629100  0.349500  1  0.898100
  25  0.632800  0.367100  0  0.752700
  26  0.616700  0.330100  0  0.219800
  27  0.621000  0.345000  0  0.653500
  28  0.603200  0.322300  0  0.545400
  29  0.644400  0.390900  1  0.726800
  30  0.620000  0.349000  0  0.305300
  31  0.642300  0.393600  1  0.587900
  32  0.655800  0.418300  1  0.065600
  33  0.654400  0.415600  1  0.127200
  34  0.653200  0.414900  1  0.127800
  35  0.641900  0.366600  0  0.097300
  36  0.640500  0.398600  1  0.570900
  37  0.646200  0.370300  0  0.090900
  38  0.655900  0.423700  1  0.102300
  39  0.656200  0.421800  1  0.410300
  40  0.650800  0.424800  1  0.154100
  41  0.638800  0.403400  0  0.522800
  42  0.652100  0.437900  1  0.006400
  43  0.666300  0.447000  1  0.029400
  44  0.656400  0.428500  1  0.065000
  45  0.645800  0.399000  1  0.397800
  46  0.656600  0.435300  1  0.020000
  47  0.648300  0.441000  1  0.205600
  48  0.664600  0.448300  1  0.139000
  49  0.656400  0.447000  1  0.033600
  50  0.652100  0.419000  1  0.149600
  51  0.659800  0.419500  1  0.200500
  52  0.662000  0.441200  1  0.029300
  53  0.621600  0.347600  1  0.323700
  54  0.670600  0.443900  1  0.156000
  55  0.669300  0.460200  1  0.031000
  56  0.649200  0.384900  1  0.679700
  57  0.650800  0.406800  1  0.141800
  58  0.653000  0.434900  1  0.106600
  59  0.659100  0.429400  1  0.347400
  60  0.662500  0.428600  1  0.043400
  61  0.645500  0.391100  1  0.461700
  62  0.652900  0.421100  1  0.471900
  63  0.636300  0.393700  0  0.095600
  64  0.662600  0.439700  1  0.436200
  65  0.658700  0.429800  1  0.156000
  66  0.651700  0.422900  1  0.014900
  67  0.655900  0.434300  0  0.168200
  68  0.647000  0.416900  1  0.348100
  69  0.660200  0.451900  1  0.141500
  70  0.656500  0.422800  1  0.126800
  71  0.647800  0.414200  1  0.106300
  72  0.641600  0.391900  1  0.624200
  73  0.668900  0.446900  1  0.142600
  74  0.641800  0.376700  0  0.325800
  75  0.651400  0.410200  1  0.064900
  76  0.649600  0.404900  1  0.246700
  77  0.660600  0.409100  1  0.232300
  78  0.670700  0.453100  1  0.014400
  79  0.660400  0.429100  1  0.198000
  80  0.643500  0.395100  0  0.667400
  81  0.644300  0.407000  1  0.094900
  82  0.644200  0.403000  1  0.055900
  83  0.618300  0.354400  1  0.301200
  84  0.651400  0.406800  1  0.109900
  85  0.652100  0.424000  1  0.538000
  86  0.656500  0.411200  1  0.385300
  87  0.637900  0.389300  0  0.486400
  88  0.665300  0.423200  1  0.188700
  89  0.644800  0.416800  1  0.064400
  90  0.645500  0.413400  1  0.166600
