# layer_stds.dat — Per-layer activation std(h[i]) averaged by correctness
# Layer  Correct_std  Incorrect_std
   1  0.013033  0.013047
   2  0.019472  0.019533
   3  0.028092  0.028823
   4  0.038352  0.037580
   5  0.046820  0.047273
   6  0.056408  0.056717
   7  0.068990  0.069030
   8  0.076328  0.076870
   9  0.081758  0.082350
  10  0.084572  0.084987
  11  0.097758  0.096327
  12  0.096898  0.096240
  13  0.105477  0.106880
  14  0.122100  0.122343
  15  0.131097  0.130297
  16  0.131250  0.131263
  17  0.145042  0.145047
  18  0.159127  0.161003
  19  0.166923  0.169743
  20  0.175990  0.180693
  21  0.192292  0.198457
  22  0.208205  0.215083
  23  0.230413  0.239700
  24  0.257708  0.271443
  25  0.280442  0.295163
  26  0.305748  0.321167
  27  0.348767  0.367843
  28  0.391502  0.416030
  29  0.441708  0.474240
  30  0.500963  0.537143
  31  0.585500  0.632193
  32  2.265332  2.254527
