# head_weights.dat — Trained confidence head weight importance per layer
# Source: D:\git\NNConfidence\data\checkpoints\mistral-7b_norm_shift\best_norm_shift_combined.pt
# Layer weights = sum(abs(norm_shift_proj.0.weight), dim=0)
# epoch=21, T=0.8825
# Layer  Weight_importance
   1  5.5579
   2  6.4890
   3  5.5497
   4  5.9734
   5  5.8879
   6  5.5144
   7  5.6886
   8  6.1373
   9  5.0161
  10  6.1475
  11  5.8413
  12  5.5661
  13  6.4337
  14  5.7639
  15  5.6590
  16  5.7052
  17  6.0551
  18  6.2861
  19  5.4884
  20  5.6253
  21  6.1081
  22  4.9949
  23  5.3933
  24  5.5960
  25  5.5665
  26  5.5533
  27  5.8494
  28  5.4505
  29  5.5968
  30  5.1380
  31  5.6542
  32  5.4275
