# layer_stds.dat — Per-layer activation std(h[i]) averaged by correctness
# Layer  Correct_std  Incorrect_std
   1  0.003797  0.003800
   2  0.005751  0.005748
   3  0.008456  0.008458
   4  0.010617  0.010649
   5  0.013981  0.013987
   6  0.018694  0.018668
   7  0.022138  0.022140
   8  0.025911  0.025796
   9  0.029586  0.029471
  10  0.034928  0.034813
  11  0.038732  0.038754
  12  0.045393  0.045217
  13  0.051980  0.051685
  14  0.058239  0.058080
  15  0.066498  0.066096
  16  0.078041  0.077736
  17  0.093072  0.093050
  18  0.102740  0.103088
  19  0.113085  0.113198
  20  0.134162  0.134007
  21  0.147872  0.149090
  22  0.158929  0.160824
  23  0.165902  0.168839
  24  0.178215  0.181765
  25  0.190677  0.194957
  26  0.202232  0.206692
  27  0.214275  0.218306
  28  0.235619  0.240553
  29  0.264906  0.267972
  30  0.325634  0.329531
  31  0.377673  0.383038
  32  5.739826  5.736346
