# norm_shift_avg.dat — Average norm-shift by correctness
# Source: mistral-7b (90 examples, 58 correct, 32 incorrect)
# Layer  Correct_avg  Correct_std  Incorrect_avg  Incorrect_std
   1  0.996203  0.000021  0.996200  0.000029
   2  0.994249  0.000057  0.994252  0.000052
   3  0.991544  0.000124  0.991542  0.000150
   4  0.989383  0.000123  0.989351  0.000118
   5  0.986019  0.000201  0.986013  0.000209
   6  0.981306  0.000395  0.981332  0.000379
   7  0.977862  0.000385  0.977860  0.000415
   8  0.974089  0.000581  0.974205  0.000553
   9  0.970414  0.000833  0.970529  0.000773
  10  0.965072  0.000656  0.965187  0.000708
  11  0.961268  0.000708  0.961246  0.000654
  12  0.954607  0.000682  0.954783  0.000686
  13  0.948020  0.000693  0.948315  0.000785
  14  0.941761  0.000891  0.941920  0.000931
  15  0.933502  0.001353  0.933904  0.001192
  16  0.921959  0.001642  0.922265  0.001709
  17  0.906928  0.001922  0.906950  0.001865
  18  0.897260  0.001589  0.896912  0.002134
  19  0.886915  0.001900  0.886802  0.002234
  20  0.865838  0.002409  0.865993  0.002821
  21  0.852128  0.002517  0.850910  0.002811
  22  0.841071  0.002652  0.839176  0.002753
  23  0.834098  0.003472  0.831161  0.003541
  24  0.821785  0.003687  0.818235  0.003308
  25  0.809323  0.004174  0.805043  0.003739
  26  0.797768  0.004377  0.793308  0.003571
  27  0.785725  0.003965  0.781694  0.003991
  28  0.764381  0.004610  0.759447  0.005544
  29  0.735094  0.005388  0.732028  0.005528
  30  0.674366  0.007177  0.670469  0.005590
  31  0.622327  0.010022  0.616962  0.008992
  32  -4.739826  0.120248  -4.736346  0.134013
