# norm_shift_avg.dat — Average norm-shift by correctness
# Source: llama3.1-8b (90 examples, 60 correct, 30 incorrect)
# Layer  Correct_avg  Correct_std  Incorrect_avg  Incorrect_std
   1  0.986967  0.000107  0.986953  0.000112
   2  0.980528  0.000187  0.980467  0.000217
   3  0.971908  0.000410  0.971177  0.000743
   4  0.961648  0.000783  0.962420  0.000537
   5  0.953180  0.000714  0.952727  0.001015
   6  0.943592  0.000849  0.943283  0.000917
   7  0.931010  0.000889  0.930970  0.000904
   8  0.923672  0.001088  0.923130  0.001317
   9  0.918242  0.001678  0.917650  0.001362
  10  0.915428  0.001537  0.915013  0.001522
  11  0.902242  0.001900  0.903673  0.001977
  12  0.903102  0.002193  0.903760  0.001974
  13  0.894523  0.001845  0.893120  0.001819
  14  0.877900  0.002964  0.877657  0.002442
  15  0.868903  0.003220  0.869703  0.002428
  16  0.868750  0.001998  0.868737  0.001640
  17  0.854958  0.001821  0.854953  0.001628
  18  0.840873  0.003051  0.838997  0.003069
  19  0.833077  0.003600  0.830257  0.003611
  20  0.824010  0.004683  0.819307  0.004545
  21  0.807708  0.005517  0.801543  0.005123
  22  0.791795  0.006189  0.784917  0.005599
  23  0.769587  0.007002  0.760300  0.006739
  24  0.742292  0.008998  0.728557  0.009166
  25  0.719558  0.009426  0.704837  0.009395
  26  0.694252  0.010196  0.678833  0.009790
  27  0.651233  0.012172  0.632157  0.011381
  28  0.608498  0.016168  0.583970  0.013382
  29  0.558292  0.020968  0.525760  0.017066
  30  0.499037  0.022067  0.462857  0.018048
  31  0.414500  0.026216  0.367807  0.023108
  32  -1.265332  0.025969  -1.254527  0.027913
