method,displayname,category,accuracy,meanconf,calgap,ece,brier,hlcc,auroc,auprc,prr,accatseventy,accateighty,accatninety,nexamples
entropy,Entropy,logit,0.497,0.869,0.373,0.373,0.364,0.225,0.839,0.838,0.731,0.633,0.596,0.552,300
topk,Top-k,logit,0.497,0.880,0.383,0.383,0.374,0.211,0.742,0.748,0.560,0.600,0.575,0.533,300
msp,MSP,logit,0.497,0.714,0.218,0.234,0.302,0.365,0.602,0.552,0.143,0.562,0.525,0.507,300
gnll,GNLL,logit,0.497,0.714,0.218,0.234,0.302,0.365,0.602,0.552,0.143,0.562,0.525,0.507,300
verbalized,Verbalized,generation,0.497,0.761,0.264,0.347,0.371,0.256,0.560,0.542,0.121,0.524,0.517,0.496,300
self_consistency,Self-consistency,generation,0.983,0.973,0.010,0.013,0.012,1.933,0.984,1.000,0.985,1.000,1.000,1.000,300
temperature_scaling,Temp.\ scaling,posthoc,0.497,0.970,0.473,0.477,0.480,0.029,0.597,0.603,0.262,0.562,0.529,0.500,300
isotonic,Isotonic,posthoc,0.497,0.497,0.000,0.000,0.153,0.691,0.853,0.856,0.760,0.638,0.600,0.552,300
platt,Platt,posthoc,0.497,0.497,0.000,0.045,0.164,0.665,0.839,0.838,0.731,0.633,0.596,0.552,300
hlcc_norm_shift,NormShift,learned,0.497,0.479,0.018,0.112,0.113,0.819,0.948,0.933,0.898,0.710,0.621,0.552,300
semantic_entropy,Semantic entropy,generation,0.990,0.962,0.028,0.028,0.017,1.937,0.961,1.000,0.960,1.000,1.000,1.000,300
cot_confidence,CoT confidence,generation,1.000,0.500,0.500,0.500,0.250,1.500,0.500,0.500,0.000,1.000,1.000,1.000,300
lvu,LVU,generation,0.497,0.251,0.246,0.256,0.351,0.517,0.484,0.504,0.007,0.486,0.500,0.496,300
cocoa,CoCoA,generation,0.987,0.923,0.064,0.071,0.015,1.884,0.976,1.000,0.975,1.000,1.000,1.000,300
