method,displayname,category,accuracy,meanconf,calgap,ece,brier,hlcc,auroc,auprc,prr,accatseventy,accateighty,accatninety,nexamples
entropy,Entropy,logit,0.393,0.917,0.524,0.524,0.491,-0.211,0.809,0.741,0.653,0.529,0.471,0.430,300
topk,Top-k,logit,0.393,0.962,0.569,0.569,0.548,-0.314,0.746,0.626,0.481,0.505,0.458,0.430,300
msp,MSP,logit,0.393,0.683,0.290,0.295,0.312,0.144,0.658,0.527,0.302,0.462,0.438,0.415,300
gnll,GNLL,logit,0.393,0.683,0.290,0.295,0.312,0.144,0.658,0.527,0.302,0.462,0.438,0.415,300
verbalized,Verbalized,generation,0.393,0.667,0.274,0.421,0.565,-0.198,0.467,0.371,-0.069,0.371,0.383,0.385,300
self_consistency,Self-consistency,generation,0.507,0.748,0.242,0.242,0.279,0.440,0.707,0.716,0.485,0.571,0.550,0.530,300
temperature_scaling,Temp.\ scaling,posthoc,0.393,0.960,0.566,0.566,0.558,-0.333,0.636,0.485,0.217,0.438,0.429,0.407,300
isotonic,Isotonic,posthoc,0.393,0.393,0.000,0.000,0.161,0.481,0.828,0.751,0.668,0.529,0.479,0.433,300
platt,Platt,posthoc,0.393,0.393,0.000,0.075,0.177,0.469,0.809,0.741,0.653,0.529,0.471,0.430,300
hlcc_norm_shift,NormShift,learned,0.393,0.534,0.141,0.235,0.253,0.324,0.794,0.713,0.613,0.514,0.471,0.433,300
semantic_entropy,Semantic entropy,generation,0.507,0.650,0.143,0.205,0.253,0.526,0.691,0.744,0.527,0.595,0.550,0.522,300
cot_confidence,CoT confidence,generation,0.647,0.807,0.160,0.213,0.261,0.744,0.630,0.741,0.293,0.657,0.650,0.656,300
lvu,LVU,generation,0.393,0.453,0.060,0.120,0.251,0.314,0.545,0.459,0.143,0.424,0.412,0.404,300
cocoa,CoCoA,generation,0.523,0.825,0.301,0.301,0.309,0.393,0.722,0.777,0.577,0.605,0.583,0.537,300
