method,displayname,category,accuracy,meanconf,calgap,ece,brier,hlcc,auroc,auprc,prr,accatseventy,accateighty,accatninety,nexamples
entropy,Entropy,logit,0.467,0.855,0.389,0.389,0.393,0.105,0.602,0.531,0.159,0.505,0.492,0.481,300
topk,Top-k,logit,0.467,0.891,0.424,0.428,0.422,0.060,0.602,0.545,0.194,0.505,0.492,0.485,300
msp,MSP,logit,0.467,0.819,0.353,0.353,0.352,0.214,0.711,0.706,0.513,0.548,0.512,0.496,300
gnll,GNLL,logit,0.467,0.819,0.353,0.353,0.352,0.214,0.711,0.706,0.513,0.548,0.512,0.496,300
verbalized,Verbalized,generation,0.467,0.936,0.469,0.502,0.516,-0.075,0.595,0.557,0.222,0.543,0.504,0.463,300
self_consistency,Self-consistency,generation,0.290,0.712,0.422,0.422,0.410,-0.254,0.556,0.338,0.114,0.314,0.300,0.296,300
temperature_scaling,Temp.\ scaling,posthoc,0.467,0.982,0.515,0.515,0.510,-0.090,0.651,0.641,0.393,0.533,0.521,0.489,300
isotonic,Isotonic,posthoc,0.467,0.467,0.000,0.000,0.230,0.485,0.654,0.627,0.368,0.529,0.496,0.481,300
platt,Platt,posthoc,0.467,0.467,0.000,0.050,0.243,0.462,0.602,0.531,0.159,0.505,0.492,0.481,300
hlcc_norm_shift,NormShift,learned,0.467,0.497,0.030,0.030,0.025,0.884,0.999,0.999,0.999,0.667,0.583,0.519,300
semantic_entropy,Semantic entropy,generation,0.300,0.572,0.272,0.328,0.354,-0.076,0.518,0.323,0.054,0.295,0.296,0.289,300
cot_confidence,CoT confidence,generation,0.513,0.956,0.443,0.463,0.449,0.124,0.581,0.601,0.214,0.571,0.550,0.533,300
lvu,LVU,generation,0.467,0.463,0.004,0.122,0.287,0.412,0.464,0.453,-0.044,0.443,0.446,0.441,300
cocoa,CoCoA,generation,0.277,0.783,0.506,0.506,0.456,-0.385,0.585,0.323,0.115,0.319,0.312,0.300,300
