method,displayname,category,accuracy,meanconf,calgap,ece,brier,hlcc,auroc,auprc,prr,accatseventy,accateighty,accatninety,nexamples
entropy,Entropy,logit,0.493,0.942,0.449,0.449,0.425,0.125,0.899,0.895,0.834,0.671,0.608,0.548,300
topk,Top-k,logit,0.493,0.970,0.476,0.476,0.465,0.050,0.757,0.769,0.601,0.605,0.567,0.537,300
msp,MSP,logit,0.493,0.770,0.277,0.277,0.310,0.340,0.657,0.589,0.228,0.552,0.546,0.519,300
gnll,GNLL,logit,0.493,0.770,0.277,0.277,0.310,0.340,0.657,0.589,0.228,0.552,0.546,0.519,300
verbalized,Verbalized,generation,0.493,0.328,0.165,0.311,0.404,0.399,0.384,0.419,-0.253,0.462,0.479,0.485,300
self_consistency,Self-consistency,generation,0.683,0.949,0.265,0.269,0.268,0.825,0.626,0.754,0.254,0.738,0.742,0.726,300
temperature_scaling,Temp.\ scaling,posthoc,0.493,0.980,0.487,0.487,0.487,0.009,0.652,0.586,0.235,0.571,0.538,0.500,300
isotonic,Isotonic,posthoc,0.493,0.493,0.000,0.000,0.119,0.746,0.909,0.912,0.860,0.676,0.608,0.548,300
platt,Platt,posthoc,0.493,0.493,0.000,0.037,0.130,0.731,0.899,0.895,0.834,0.671,0.608,0.548,300
hlcc_norm_shift,NormShift,learned,0.493,0.450,0.043,0.305,0.339,0.460,0.633,0.574,0.211,0.571,0.558,0.519,300
semantic_entropy,Semantic entropy,generation,0.687,0.933,0.247,0.261,0.277,0.824,0.602,0.739,0.193,0.729,0.733,0.711,300
cot_confidence,CoT confidence,generation,0.657,0.878,0.222,0.262,0.277,0.726,0.637,0.752,0.312,0.700,0.679,0.663,300
lvu,LVU,generation,0.493,0.369,0.124,0.130,0.285,0.518,0.554,0.510,0.037,0.529,0.521,0.507,300
cocoa,CoCoA,generation,0.677,0.943,0.266,0.266,0.267,0.801,0.806,0.904,0.726,0.810,0.762,0.715,300
