model,params,precision,acc,abstain,temperature,ece,auroc,dauroc_abstain,dauroc_correct
Qwen2-1.5B,1.5,FP16,0.344,0.829,3.76,0.042,0.528,+0.192,+0.022
Mistral-7B,7.2,FP16,0.478,0.156,9.89,0.042,0.557,+0.176,-0.031
Qwen2.5-7B,7.6,FP16,0.491,0.850,8.19,0.067,0.561,+0.107,+0.001
Llama-3.1-8B,8.0,FP16,0.490,0.549,2.49,0.046,0.591,+0.173,-0.016
Mistral-Nemo-12B,12.2,FP16,0.463,0.571,2.78,0.051,0.579,+0.151,-0.001
Qwen2.5-14B,14.2,8-bit,0.527,0.536,10.65,0.057,0.591,+0.165,-0.005
DeepSeek-R1-14B,14.2,8-bit,0.479,0.037,3.11,0.066,0.615,+0.158,-0.085
Mistral-Small-24B,24.0,4-bit,0.492,0.985,2.10,0.044,0.621,+0.097,-0.028
Qwen2.5-32B,32.5,4-bit,0.536,0.833,7.14,0.068,0.593,+0.168,-0.057
GPT-4o$^{\dagger}$,--,API,0.637,0.566,4.10,0.046,0.900,--,--
