model,displayname,dataset,dtype,nexamples,retrycount,retryrate,rescuecount,rescuerate,damagecount,damagerate,net
mistral-7b,Mistral-7B,arc-easy,in-domain,150,13,0.087,0,0.000,0,0.000,0
mistral-7b,Mistral-7B,truthfulqa,in-domain,150,78,0.520,25,0.321,0,0.000,25
mistral-7b,Mistral-7B,arc-challenge,in-domain,150,28,0.187,3,0.107,1,0.036,2
mistral-7b,Mistral-7B,commonsenseqa,OOD,150,33,0.220,2,0.061,3,0.091,-1
mistral-7b,Mistral-7B,openbookqa,OOD,150,18,0.120,1,0.056,0,0.000,1
mistral-7b,Mistral-7B,sciq,OOD,150,8,0.053,0,0.000,2,0.250,-2
mistral-7b,Mistral-7B,hellaswag,OOD,150,40,0.267,0,0.000,2,0.050,-2
mistral-7b,Mistral-7B,mmlu,OOD,150,95,0.633,3,0.032,3,0.032,0
qwen2.5-7b,Qwen2.5-7B,arc-easy,in-domain,150,64,0.427,0,0.000,16,0.250,-16
qwen2.5-7b,Qwen2.5-7B,truthfulqa,in-domain,150,72,0.480,3,0.042,9,0.125,-6
qwen2.5-7b,Qwen2.5-7B,arc-challenge,in-domain,150,71,0.473,2,0.028,9,0.127,-7
qwen2.5-7b,Qwen2.5-7B,commonsenseqa,OOD,150,76,0.507,2,0.026,13,0.171,-11
qwen2.5-7b,Qwen2.5-7B,openbookqa,OOD,150,75,0.500,0,0.000,26,0.347,-26
qwen2.5-7b,Qwen2.5-7B,sciq,OOD,150,89,0.593,1,0.011,12,0.135,-11
qwen2.5-7b,Qwen2.5-7B,hellaswag,OOD,150,82,0.547,5,0.061,14,0.171,-9
qwen2.5-7b,Qwen2.5-7B,mmlu,OOD,150,82,0.547,2,0.024,13,0.159,-11
llama3.1-8b,Llama-3.1-8B,arc-easy,in-domain,150,127,0.847,1,0.008,10,0.079,-9
llama3.1-8b,Llama-3.1-8B,truthfulqa,in-domain,150,64,0.427,22,0.344,2,0.031,20
llama3.1-8b,Llama-3.1-8B,arc-challenge,in-domain,150,129,0.860,1,0.008,12,0.093,-11
llama3.1-8b,Llama-3.1-8B,commonsenseqa,OOD,150,122,0.813,4,0.033,40,0.328,-36
llama3.1-8b,Llama-3.1-8B,openbookqa,OOD,150,134,0.893,8,0.060,28,0.209,-20
llama3.1-8b,Llama-3.1-8B,sciq,OOD,150,107,0.713,1,0.009,10,0.093,-9
llama3.1-8b,Llama-3.1-8B,hellaswag,OOD,150,133,0.887,4,0.030,19,0.143,-15
llama3.1-8b,Llama-3.1-8B,mmlu,OOD,150,102,0.680,10,0.098,11,0.108,-1
qwen2.5-14b,Qwen2.5-14B,arc-easy,in-domain,150,78,0.520,0,0.000,0,0.000,0
qwen2.5-14b,Qwen2.5-14B,truthfulqa,in-domain,150,20,0.133,1,0.050,1,0.050,0
qwen2.5-14b,Qwen2.5-14B,arc-challenge,in-domain,150,83,0.553,1,0.012,5,0.060,-4
qwen2.5-14b,Qwen2.5-14B,commonsenseqa,OOD,150,121,0.807,3,0.025,4,0.033,-1
qwen2.5-14b,Qwen2.5-14B,openbookqa,OOD,150,71,0.473,0,0.000,1,0.014,-1
qwen2.5-14b,Qwen2.5-14B,sciq,OOD,150,102,0.680,0,0.000,1,0.010,-1
qwen2.5-14b,Qwen2.5-14B,hellaswag,OOD,150,89,0.593,2,0.022,2,0.022,0
qwen2.5-14b,Qwen2.5-14B,mmlu,OOD,150,144,0.960,7,0.049,12,0.083,-5
deepseek-r1-14b,DeepSeek-R1-14B,arc-easy,in-domain,150,1,0.007,0,0.000,0,0.000,0
deepseek-r1-14b,DeepSeek-R1-14B,truthfulqa,in-domain,150,80,0.533,0,0.000,0,0.000,0
deepseek-r1-14b,DeepSeek-R1-14B,arc-challenge,in-domain,150,8,0.053,1,0.125,0,0.000,1
deepseek-r1-14b,DeepSeek-R1-14B,commonsenseqa,OOD,150,93,0.620,1,0.011,1,0.011,0
deepseek-r1-14b,DeepSeek-R1-14B,openbookqa,OOD,150,25,0.167,0,0.000,1,0.040,-1
deepseek-r1-14b,DeepSeek-R1-14B,sciq,OOD,150,11,0.073,0,0.000,0,0.000,0
deepseek-r1-14b,DeepSeek-R1-14B,hellaswag,OOD,150,118,0.787,1,0.008,5,0.042,-4
deepseek-r1-14b,DeepSeek-R1-14B,mmlu,OOD,150,89,0.593,0,0.000,1,0.011,-1
